Sentiment,Score,Month
Pro-Ukrainian,10.451046228408813,February
Pro-Ukrainian,9.40402626991272,February
Pro-Ukrainian,9.582115411758423,February
Pro-Russian,4.401184618473053,February
Pro-Ukrainian,10.488989353179932,February
Pro-Ukrainian,9.123671650886536,February
Pro-Ukrainian,10.790026187896729,February
Pro-Ukrainian,9.851545095443726,February
Pro-Ukrainian,11.01150631904602,February
Pro-Ukrainian,10.203056335449219,February
Pro-Russian,2.096651643514633,February
Pro-Ukrainian,10.170202255249023,February
Pro-Ukrainian,10.322020053863525,February
Pro-Ukrainian,10.078253746032715,February
Pro-Ukrainian,10.59264063835144,February
Pro-Ukrainian,9.041404724121094,February
Pro-Russian,2.3276299238204956,February
Pro-Ukrainian,11.218109130859375,February
Pro-Ukrainian,9.664164185523987,February
Pro-Ukrainian,9.808884263038635,February
Pro-Ukrainian,10.1395845413208,February
Pro-Ukrainian,11.000553369522095,February
Pro-Ukrainian,10.90174913406372,February
Pro-Ukrainian,9.100847840309143,February
Pro-Ukrainian,10.03226637840271,February
Pro-Ukrainian,10.298984050750732,February
Pro-Ukrainian,9.449540376663208,February
Pro-Ukrainian,10.44391393661499,February
Pro-Ukrainian,9.588528275489807,February
Pro-Ukrainian,7.51910924911499,February
Pro-Ukrainian,10.584405660629272,February
Pro-Ukrainian,11.324560642242432,February
Pro-Ukrainian,10.13594388961792,February
Pro-Ukrainian,10.438549518585205,February
Pro-Ukrainian,10.621591806411743,February
Pro-Ukrainian,10.570660829544067,February
Pro-Ukrainian,9.212286472320557,February
Pro-Ukrainian,9.2716783285141,February
Pro-Ukrainian,9.15844202041626,February
Pro-Ukrainian,11.034795045852661,February
Pro-Ukrainian,10.272841453552246,February
Pro-Ukrainian,10.075622797012329,February
Pro-Ukrainian,10.88724136352539,February
Pro-Ukrainian,10.502115488052368,February
Pro-Ukrainian,10.712289810180664,February
Pro-Ukrainian,10.19192099571228,February
Pro-Ukrainian,10.610498189926147,February
Pro-Ukrainian,9.990099668502808,February
Pro-Ukrainian,10.162233114242554,February
Pro-Ukrainian,8.954240083694458,February
Pro-Ukrainian,10.676133632659912,February
Pro-Ukrainian,9.726093411445618,February
Pro-Ukrainian,9.891046285629272,February
Pro-Ukrainian,6.976093649864197,February
Pro-Ukrainian,9.9363511800766,February
Pro-Ukrainian,11.081218719482422,February
Pro-Ukrainian,11.33801817893982,February
Pro-Ukrainian,9.146907925605774,February
Pro-Ukrainian,10.52160382270813,February
Pro-Ukrainian,10.085793733596802,February
Pro-Ukrainian,10.7485032081604,February
Pro-Ukrainian,10.952723026275635,February
Pro-Ukrainian,9.23311710357666,February
Pro-Ukrainian,9.117078185081482,February
Pro-Ukrainian,10.065504312515259,February
Pro-Ukrainian,10.363399982452393,February
Pro-Ukrainian,9.293689131736755,February
Pro-Russian,1.9579455256462097,February
Pro-Ukrainian,10.468566417694092,February
Pro-Ukrainian,10.8673095703125,February
Pro-Ukrainian,10.213695764541626,February
Pro-Russian,0.8526747673749924,February
Pro-Ukrainian,10.726839303970337,February
Pro-Ukrainian,9.246386885643005,February
Pro-Ukrainian,10.349626541137695,February
Pro-Ukrainian,11.127817630767822,March
Pro-Ukrainian,10.705757141113281,March
Pro-Ukrainian,9.735673666000366,March
Pro-Ukrainian,9.21134889125824,March
Pro-Ukrainian,10.345016717910767,March
Pro-Ukrainian,10.27450442314148,March
Pro-Ukrainian,10.366994142532349,March
Pro-Ukrainian,10.509480237960815,March
Pro-Ukrainian,10.356156826019287,March
Pro-Ukrainian,10.585596561431885,March
Pro-Ukrainian,9.353593587875366,March
Pro-Russian,2.6569968461990356,March
Pro-Ukrainian,9.969784021377563,March
Pro-Ukrainian,10.401920080184937,March
Pro-Ukrainian,10.701833963394165,March
Pro-Ukrainian,9.945752620697021,March
Pro-Ukrainian,9.14670705795288,March
Pro-Ukrainian,10.244007110595703,March
Pro-Ukrainian,8.639478087425232,March
Pro-Russian,3.5390931367874146,March
Pro-Ukrainian,9.488289952278137,March
Pro-Ukrainian,8.701375126838684,March
Pro-Ukrainian,9.472657442092896,March
Pro-Ukrainian,7.816736698150635,March
Pro-Ukrainian,10.54163932800293,March
Pro-Ukrainian,9.403358697891235,March
Pro-Ukrainian,10.12337327003479,March
Pro-Ukrainian,9.954743385314941,March
Pro-Russian,3.45695823431015,March
Pro-Ukrainian,8.240717649459839,March
Pro-Ukrainian,10.976307392120361,March
Pro-Ukrainian,7.3379600048065186,March
Pro-Ukrainian,10.49565315246582,March
Pro-Ukrainian,9.084033370018005,March
Pro-Ukrainian,10.972503423690796,March
Pro-Ukrainian,10.605356693267822,March
Pro-Ukrainian,10.583761930465698,March
Pro-Ukrainian,9.33739960193634,March
Pro-Ukrainian,5.393564701080322,March
Pro-Ukrainian,10.93145489692688,March
Pro-Ukrainian,10.14582872390747,March
Pro-Ukrainian,10.271432399749756,March
Pro-Russian,3.7323787808418274,March
Pro-Ukrainian,10.236679315567017,March
Pro-Ukrainian,10.547831058502197,March
Pro-Ukrainian,10.137038230895996,March
Pro-Ukrainian,11.093196868896484,March
Pro-Ukrainian,10.215177536010742,March
Pro-Ukrainian,10.279544591903687,March
Pro-Ukrainian,10.024172067642212,March
Pro-Ukrainian,9.886791706085205,March
Pro-Ukrainian,10.47142505645752,March
Pro-Ukrainian,5.3864675760269165,March
Pro-Ukrainian,10.83009123802185,March
Pro-Ukrainian,10.93550443649292,March
Pro-Ukrainian,10.141805410385132,March
Pro-Ukrainian,9.021989703178406,March
Pro-Ukrainian,10.679123401641846,March
Pro-Russian,3.548046350479126,March
Pro-Ukrainian,10.275377035140991,March
Pro-Ukrainian,10.551482439041138,March
Pro-Ukrainian,10.811843872070312,March
Pro-Ukrainian,9.490287899971008,March
Pro-Ukrainian,9.23488974571228,March
Pro-Russian,1.2643273174762726,March
Pro-Ukrainian,9.987791776657104,March
Pro-Ukrainian,6.056875586509705,March
Pro-Ukrainian,10.170813798904419,March
Pro-Russian,0.8608206361532211,March
Pro-Ukrainian,9.830726981163025,March
Pro-Russian,1.8651995062828064,March
